"Sucursal","","","","","",""
"Producto / Servicio + Variante","","","","","",""
"Cliente","Mes","","","","",""
"Ciudad","02 Febrero","","","","",""
"MARCA","Suma de Subtotal Neto","Suma de Subtotal Bruto","Suma de Margen Neto","Suma de Costo Neto","Suma de Impuestos","Suma de Cantidad"
"OLIVE VERDI GIGANTI DENOCCIOLATE NOVELLA 1.062 ml","$157.140","$186.996","$95.940","$61.200","$29.856","18"
"ORECCHIETTE BARESI DEDICATO Nº90 GRANORO 500 g","$16.700","$19.873","$9.700","$7.000","$3.173","10"
"ORZI GRANDI Nº40 ANTONIO AMATO 500 g","$40.800","$48.552","$17.832","$22.968","$7.752","24"
"PALA PIZZA REDONDA LINEA AZZURRA 20/150 cm","$166.380","$197.992","$166.380","$0","$31.612","2"
"PALA PIZZA REDONDA LINEA AZZURRA 36/30 cm","$58.010","$69.032","$58.010","$0","$11.022","1"
"PAN DI STELLE MULINO BIANCO 350 g","$56.400","$67.116","$23.316","$33.084","$10.716","12"
"PANCETTA ARROTOLATA CORTE BUONA Kg","$22.517","$26.795","$10.701","$11.816","$4.278","1,4"
"PANCETTA DELICATESSE Kg","$204.327","$243.149","$93.772","$110.555","$38.822","11,32"
"PANCETTA DELICATESSE ONLINE 300 gr","$8.824","$10.500","$5.853","$2.971","$1.676","1"
"PANETTONE LATA TIRAMISU 750 g","$83.600","$99.484","$38.600","$45.000","$15.884","4"
"PAPPARDELLE ALL'UOVO Nº122 GRANORO 500 g","$61.743","$73.474","$37.823","$23.920","$11.731","26"
"PAPPARDELLE DEDICATO Nº134 GRANORO 500 g","$180.360","$214.629","$95.040","$85.320","$34.269","108"
"PARMIGIANO REGGIANO D.O.P. BONI 300 g","$237.604","$282.750","$122.970","$114.634","$45.146","9,213"
"PARMIGIANO REGGIANO D.O.P. BONI Kg","$840.779","$1.000.528","$451.466","$389.313","$159.749","33,41"
"PASSATA DI POMODORO BIO GRANORO 700 g","$53.136","$63.232","$26.136","$27.000","$10.096","25"
"PASSATA DI POMODORO GRANORO 690 g","$24.480","$29.131","$14.640","$9.840","$4.651","12"
"PASSATA DI PUGLIA ROSSO GARGANO 690 g","$46.800","$55.692","$20.472","$26.328","$8.892","24"
"PECORINO ROMANO D.O.P. OTTAVO Kg","$302.099","$359.497","$116.207","$185.892","$57.398","11,065"
"PECORINO ROMANO D.O.P. PINNA 200 gr","$226.290","$269.284","$88.755","$137.535","$42.994","40"
"PECORINO SARDO PINNA Kg","$696.048","$828.297","$353.602","$342.446","$132.249","25,59"
"PENNE RIGATE BIO INTEGRALE GRANORO 500 g","$29.000","$34.510","$13.670","$15.330","$5.510","20"
"PENNE RIGATE Nº26 GRANORO 500 g","$666.198","$792.774","$359.643","$306.555","$126.576","573"
"PENNINE Nº31 GRANORO 500 g","$3.384","$4.027","$1.144","$2.240","$643","4"
"PEPE NERO CON MOLINILLO CANNAMELA 28 g","$28.320","$33.701","$15.120","$13.200","$5.381","12"
"PEPERONCINO CON MOLINILLO CANNAMELA ","$119.652","$142.385","$63.552","$56.100","$22.733","51"
"PIZZA SAUCE MUTTI 210 g","$26.160","$31.130","$8.328","$17.832","$4.970","24"
"PIZZA SAUCE MUTTI 400 g","$37.200","$44.268","$20.520","$16.680","$7.068","24"
"POLENTA VALSUGANA BONOMELLI 375 g","$41.220","$49.052","$21.024","$20.196","$7.832","18"
"POLPA DI POMODORO MUTTI 4,050 kg","$609.200","$724.947","$216.145","$393.055","$115.747","65"
"POLPA DI POMODORO MUTTI 400 g","$84.000","$99.960","$84.000","$0","$15.960","60"
